sentence	mood	prob
Project Gutenberg's Alice's Adventures in Wonderland, by Lewis Carroll  This eBook is for the use of anyone anywhere at no cost and with almost no restrictions whatsoever.	neutral	"[7.0910197e-01 2.8167510e-01 7.8666080e-03 5.8432773e-04 9.9084646e-05
 6.7292852e-04]"
You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org   Title: Alice's Adventures in Wonderland  Author: Lewis Carroll  Posting Date: June 25, 2008 [EBook #11] Release Date: March, 1994 [Last updated: December 20, 2011]  Language: English  Character set encoding: ASCII  *** START OF THIS PROJECT GUTENBERG EBOOK ALICE'S ADVENTURES IN WONDERLAND ***           ALICE'S ADVENTURES IN WONDERLAND  Lewis Carroll  THE MILLENNIUM FULCRUM EDITION 3.0     CHAPTER I.	neutral	"[7.2602999e-01 2.7059641e-01 5.3050788e-04 2.8195032e-03 6.7022952e-06
 1.6847127e-05]"
Down the Rabbit-Hole  Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, 'and what is the use of a book,' thought Alice 'without pictures or conversations?'	neutral	[0.8756083  0.01141717 0.01755789 0.05378898 0.03450111 0.00712649]
So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.	neutral	[0.61201656 0.24072587 0.08218522 0.02834479 0.01553127 0.02119631]
There was nothing so VERY remarkable in that; nor did Alice think it so VERY much out of the way to hear the Rabbit say to itself, 'Oh dear!	neutral	[0.46215752 0.46183178 0.00906125 0.06467294 0.00114693 0.00112948]
Oh dear!	scary	[0.17555176 0.03570533 0.24306011 0.08192737 0.30848584 0.1552696 ]
I shall be late!'	neutral	[0.48549163 0.19043998 0.20376258 0.01998948 0.06585698 0.03445939]
(when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually TOOK A WATCH OUT OF ITS WAISTCOAT-POCKET, and looked at it, and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and fortunately was just in time to see it pop down a large rabbit-hole under the hedge.	neutral	[0.39000204 0.01540326 0.32873315 0.00163652 0.25410897 0.010116  ]
In another moment down went Alice after it, never once considering how in the world she was to get out again.	neutral	"[9.3814015e-01 3.1883450e-04 1.9072244e-02 3.1728664e-04 4.1925900e-02
 2.2551818e-04]"
The rabbit-hole went straight on like a tunnel for some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well.	neutral	[0.4779284  0.0024873  0.17874505 0.00477869 0.3313695  0.00469106]
