ID	start	end	happy	funny	sad	tender	exciting	angry	scary	split
--3flh9REUI	 30.000	 40.000	0.0	0.0	0.0	1.0	0.0	0.0	0.0	TRAIN
--9yPWZVYZw	 30.000	 40.000	0.0	0.0	0.0	0.0	1.0	0.0	0.0	TRAIN
--CZ-8vrQ1g	 30.000	 40.000	1.0	0.0	0.0	0.0	0.0	0.0	0.0	TRAIN
--K3100xfu8	 30.000	 40.000	0.0	0.0	1.0	0.0	0.0	0.0	0.0	TRAIN
--PLvH-OZRI	 30.000	 40.000	0.0	0.0	0.0	0.0	1.0	0.0	0.0	TRAIN
--WKv2SmvO8	 20.000	 30.000	0.0	0.0	0.0	0.0	0.0	0.0	1.0	TRAIN
--c-YSTj5d0	 30.000	 40.000	0.0	0.0	0.0	0.0	1.0	0.0	0.0	TRAIN
--dEjKJZWHI	 10.000	 20.000	0.0	0.0	1.0	0.0	0.0	0.0	0.0	TRAIN
--ip67RoGwo	 30.000	 40.000	0.0	0.0	1.0	0.0	0.0	0.0	0.0	TRAIN
--lNhjdnZTk	 20.000	 30.000	0.0	0.0	0.0	0.0	0.0	0.0	1.0	TRAIN
--mEDTJDsR8	 30.000	 40.000	0.0	0.0	0.0	0.0	1.0	0.0	0.0	TRAIN
--yFyuMn6Cc	 30.000	 40.000	0.0	0.0	0.0	0.0	1.0	0.0	0.0	TRAIN
-00P0fHpsCc	 30.000	 40.000	0.0	0.0	0.0	1.0	0.0	0.0	0.0	TRAIN
-00P_iTrchQ	 30.000	 40.000	0.0	0.0	0.0	0.0	1.0	0.0	0.0	TRAIN
-00wcFhIJqE	 30.000	 40.000	0.0	0.0	0.0	0.0	1.0	0.0	0.0	TRAIN
-03_ppeUSwE	 30.000	 40.000	0.0	0.0	1.0	0.0	0.0	0.0	0.0	TRAIN
-06BLnbz3dw	 30.000	 40.000	0.0	0.0	0.0	1.0	0.0	0.0	0.0	TRAIN
-07ZD2JpLvA	 30.000	 40.000	0.0	0.0	0.0	1.0	0.0	0.0	0.0	TRAIN
-0C_uWbok5w	 30.000	 40.000	0.0	0.0	1.0	0.0	0.0	0.0	0.0	TRAIN
-0GLghQLcRA	 30.000	 40.000	0.0	0.0	0.0	0.0	1.0	0.0	0.0	TRAIN
-0PcwE9DJRE	 30.000	 40.000	0.0	0.0	0.0	1.0	0.0	0.0	0.0	TRAIN
-0Rr5IvwyEY	 30.000	 40.000	1.0	0.0	0.0	0.0	0.0	0.0	0.0	TRAIN
-0Vz4nf296c	 30.000	 40.000	0.0	0.0	0.0	1.0	0.0	0.0	0.0	TRAIN
-0XA-m96O7g	 30.000	 40.000	0.0	0.0	0.0	0.0	1.0	0.0	0.0	TRAIN
-0tUgm2_vRc	 30.000	 40.000	0.0	1.0	0.0	0.0	0.0	0.0	0.0	TRAIN
-0vyZZqL3TQ	 30.000	 40.000	0.0	1.0	0.0	0.0	0.0	0.0	0.0	TRAIN
-0zKxe8Xk_8	 29.000	 39.000	0.0	1.0	0.0	0.0	0.0	0.0	0.0	TRAIN
-1-5kAGOP48	 30.000	 40.000	0.0	0.0	0.0	0.0	1.0	0.0	0.0	TRAIN
-19l-7ZKb_w	 30.000	 40.000	0.0	1.0	0.0	0.0	0.0	0.0	0.0	TRAIN
-1B50kBrQeY	 170.000	 180.000	1.0	0.0	0.0	0.0	0.0	0.0	0.0	TRAIN
-1Gj_gWBqwc	 30.000	 40.000	0.0	0.0	0.0	0.0	1.0	0.0	0.0	TRAIN
-1H4MJKZwMk	 30.000	 40.000	0.0	0.0	0.0	0.0	1.0	0.0	0.0	TRAIN
-1JB2ASIZYs	 21.000	 31.000	0.0	1.0	0.0	0.0	0.0	0.0	0.0	TRAIN
-1R492W_iYk	 30.000	 40.000	0.0	0.0	0.0	0.0	1.0	0.0	0.0	TRAIN
-1Wp8TqoK9U	 30.000	 40.000	0.0	0.0	0.0	1.0	0.0	0.0	0.0	TRAIN
-1Z0N9uJX7Q	 30.000	 40.000	1.0	0.0	0.0	0.0	0.0	0.0	0.0	TRAIN
-1_XO4K57Ys	 30.000	 40.000	0.0	0.0	0.0	0.0	1.0	0.0	0.0	TRAIN
-1_dhZf8w0w	 30.000	 40.000	0.0	0.0	0.0	0.0	1.0	0.0	0.0	TRAIN
-1ebnb51apc	 30.000	 40.000	1.0	0.0	0.0	0.0	0.0	0.0	0.0	TRAIN
-1q94aVbLV4	 30.000	 40.000	0.0	0.0	0.0	0.0	1.0	0.0	0.0	TRAIN
-1s2ecnv7SA	 30.000	 40.000	1.0	0.0	0.0	0.0	0.0	0.0	0.0	TRAIN
-1sATP3OxBc	 30.000	 40.000	0.0	0.0	0.0	0.0	1.0	0.0	0.0	TRAIN
-1sTDAaVXXs	 30.000	 40.000	0.0	0.0	0.0	0.0	1.0	0.0	0.0	TRAIN
-232vZ1Pr9A	 30.000	 40.000	0.0	0.0	0.0	1.0	0.0	0.0	0.0	TRAIN
-2DTb7ONsds	 180.000	 190.000	0.0	0.0	0.0	0.0	1.0	0.0	0.0	TRAIN
-2H8FKyIENM	 30.000	 40.000	0.0	0.0	0.0	0.0	1.0	0.0	0.0	TRAIN
-2Jt-rUWogk	 30.000	 40.000	0.0	0.0	0.0	1.0	0.0	0.0	0.0	TRAIN
-2R4R8Cp8zg	 30.000	 40.000	0.0	1.0	0.0	0.0	0.0	0.0	0.0	TRAIN
-2km_R3JibE	 30.000	 40.000	0.0	0.0	0.0	0.0	1.0	0.0	0.0	TRAIN
-2l6x0AfNEo	 30.000	 40.000	1.0	0.0	0.0	0.0	0.0	0.0	0.0	TRAIN
-2s4JrPYDNw	 19.000	 29.000	1.0	1.0	0.0	0.0	0.0	0.0	0.0	TRAIN
-315Tp-gxBc	 30.000	 40.000	1.0	0.0	0.0	0.0	0.0	0.0	0.0	TRAIN
-34jdykhMa0	 30.000	 40.000	1.0	0.0	0.0	0.0	0.0	0.0	0.0	TRAIN
-38CTtcewuU	 30.000	 40.000	0.0	0.0	0.0	0.0	1.0	0.0	0.0	TRAIN
-3AMvfsfSA4	 30.000	 40.000	0.0	0.0	0.0	0.0	1.0	0.0	0.0	TRAIN
-3LeWyzaUxA	 30.000	 40.000	0.0	0.0	0.0	1.0	0.0	0.0	0.0	TRAIN
-3MzLUCeWZU	 30.000	 40.000	1.0	0.0	0.0	0.0	1.0	0.0	0.0	TRAIN
-3Wrgvm3R2M	 30.000	 40.000	0.0	0.0	0.0	0.0	1.0	0.0	0.0	TRAIN
-3_s2pM8zgM	 30.000	 40.000	0.0	0.0	0.0	1.0	0.0	0.0	0.0	TRAIN
-3gufJfFXJI	 30.000	 40.000	1.0	0.0	0.0	0.0	0.0	0.0	0.0	TRAIN
-3kcEeGAgSg	 230.000	 240.000	0.0	0.0	0.0	0.0	0.0	1.0	0.0	TRAIN
-3wQrmQkoWc	 16.000	 26.000	0.0	0.0	0.0	0.0	1.0	0.0	0.0	TRAIN
-47dZN_K5qM	 30.000	 40.000	0.0	0.0	0.0	0.0	1.0	0.0	0.0	TRAIN
-49LAHt5UPY	 100.000	 110.000	0.0	0.0	0.0	0.0	0.0	0.0	1.0	TRAIN
