sentence	mood_roberta	prob_roberta	mood_word	prob_word
Project Gutenberg's Alice's Adventures in Wonderland, by Lewis Carroll  This eBook is for the use of anyone anywhere at no cost and with almost no restrictions whatsoever.	happy	"[3.3538124e-01 6.4817059e-01 1.1978217e-02 3.8307619e-03 1.8689656e-04
 4.5227181e-04]"	scary	[0.         0.17671706 0.15423849 0.17869555 0.18991404 0.16047536]
You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org   Title: Alice's Adventures in Wonderland  Author: Lewis Carroll  Posting Date: June 25, 2008 [EBook #11] Release Date: March, 1994 [Last updated: December 20, 2011]  Language: English  Character set encoding: ASCII  *** START OF THIS PROJECT GUTENBERG EBOOK ALICE'S ADVENTURES IN WONDERLAND ***           ALICE'S ADVENTURES IN WONDERLAND  Lewis Carroll  THE MILLENNIUM FULCRUM EDITION 3.0     CHAPTER I.	happy	"[4.48146522e-01 5.46695769e-01 4.97355498e-03 1.42648583e-04
 1.30811895e-05 2.84283014e-05]"	happy	[0.         0.17531303 0.16368712 0.16942791 0.1709804  0.16098989]
Down the Rabbit-Hole  Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, 'and what is the use of a book,' thought Alice 'without pictures or conversations?'	neutral	[0.92333627 0.01001509 0.00859952 0.04046055 0.01129029 0.00629829]	surprised	[0.         0.16808319 0.17472104 0.16132    0.17364467 0.16355233]
So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.	neutral	[0.49887925 0.18103418 0.08088448 0.02596559 0.02105776 0.19217874]	scary	[0.         0.17068671 0.16265638 0.16795881 0.17448913 0.16735033]
There was nothing so VERY remarkable in that; nor did Alice think it so VERY much out of the way to hear the Rabbit say to itself, 'Oh dear!	neutral	[0.7337481  0.20312828 0.02872056 0.02634831 0.00604885 0.0020059 ]	sad	[0.         0.17767589 0.18309194 0.18465933 0.17982094 0.1437181 ]
Oh dear!	surprised	[0.14378747 0.16046356 0.3343276  0.04025301 0.164572   0.15659635]	neutral	[0. 0. 0. 0. 0. 0.]
I shall be late!'	neutral	[0.6679096  0.08542719 0.11261481 0.015325   0.05129897 0.06742447]	surprised	[0.         0.16410141 0.1746248  0.16448251 0.16317756 0.17062383]
(when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually TOOK A WATCH OUT OF ITS WAISTCOAT-POCKET, and looked at it, and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and fortunately was just in time to see it pop down a large rabbit-hole under the hedge.	neutral	[0.49907267 0.1774611  0.22964382 0.01819264 0.04206201 0.0335677 ]	scary	[0.         0.16917278 0.17104414 0.16580877 0.17444879 0.16500341]
In another moment down went Alice after it, never once considering how in the world she was to get out again.	neutral	"[8.9292634e-01 5.5210653e-04 2.6746538e-02 4.7512742e-04 7.8511037e-02
 7.8885915e-04]"	surprised	[0.         0.16129479 0.17368367 0.15603386 0.16956906 0.15832392]
The rabbit-hole went straight on like a tunnel for some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well.	neutral	[0.7253989  0.00772134 0.08065967 0.00883916 0.17429204 0.00308886]	scary	[0.         0.16368043 0.17113692 0.16340545 0.17648345 0.16360435]
Either the well was very deep, or she fell very slowly, for she had plenty of time as she went down to look about her and to wonder what was going to happen next.	neutral	[0.77802205 0.00502398 0.01924788 0.12259392 0.07289137 0.00222085]	surprised	[0.         0.16779271 0.17333152 0.16906046 0.17313765 0.16002483]
First, she tried to look down and make out what she was coming to, but it was too dark to see anything; then she looked at the sides of the well, and noticed that they were filled with cupboards and book-shelves; here and there she saw maps and pictures hung upon pegs.	neutral	[0.75587577 0.03261326 0.10930951 0.0126518  0.05251387 0.03703585]	scary	[0.         0.16807944 0.1609356  0.17005344 0.1826347  0.1583232 ]
She took down a jar from one of the shelves as she passed; it was labelled 'ORANGE MARMALADE', but to her great disappointment it was empty: she did not like to drop the jar for fear of killing somebody, so managed to put it into one of the cupboards as she fell past it.	neutral	[0.7380066  0.06587115 0.09802884 0.03105561 0.03927096 0.02776695]	scary	[0.         0.16393938 0.16637018 0.1701027  0.17251468 0.17011659]
'Well!'	neutral	[0.8184395  0.10072303 0.04002381 0.0077234  0.01013534 0.02295491]	neutral	[0. 0. 0. 0. 0. 0.]
thought Alice to herself, 'after such a fall as this, I shall think nothing of tumbling down stairs!	neutral	[0.7784525  0.03498372 0.02452782 0.1072339  0.03507676 0.01972533]	surprised	[0.         0.16523001 0.17856478 0.16009376 0.17632605 0.15678941]
How brave they'll all think me at home!	happy	[0.22535811 0.6104218  0.13776374 0.00440762 0.00847914 0.0135696 ]	happy	[0.         0.17708287 0.1592121  0.17516262 0.17364507 0.16557215]
Why, I wouldn't say anything about it, even if I fell off the top of the house!'	neutral	[0.45775953 0.03267299 0.18798499 0.04158919 0.16071469 0.11927874]	surprised	[0.         0.16550618 0.17018163 0.16011502 0.16924415 0.15589124]
(Which was very likely true.)	neutral	[0.9783715  0.00448907 0.00477034 0.00533207 0.00351095 0.00352609]	scary	[0.         0.16688201 0.16438997 0.18299915 0.18391287 0.14312497]
Down, down, down.	neutral	[0.4393885  0.0528494  0.13836385 0.06115256 0.14452697 0.16371875]	surprised	[0.         0.16129479 0.17368367 0.15603386 0.16956906 0.15832392]
Would the fall NEVER come to an end!	neutral	[0.52888525 0.05030916 0.12940788 0.02957807 0.08988924 0.17193048]	surprised	[0.         0.16122283 0.17713552 0.16256682 0.17345062 0.15287719]
'I wonder how many miles I've fallen by this time?'	neutral	[0.9064501  0.05024486 0.01220313 0.00994944 0.0036974  0.01745511]	surprised	[0.         0.17538561 0.17599553 0.17171931 0.16884434 0.16524584]
she said aloud.	neutral	[0.7499321  0.1142102  0.0354416  0.04267228 0.01794819 0.03979567]	neutral	[0. 0. 0. 0. 0. 0.]
'I must be getting somewhere near the centre of the earth.	neutral	[0.9711827  0.00690898 0.00757934 0.0021544  0.00736169 0.00481282]	neutral	[0. 0. 0. 0. 0. 0.]
