sentence	mood_roberta	prob_roberta	mood_word	prob_word
The Project Gutenberg EBook of The Phantom of the Opera, by Gaston Leroux  This eBook is for the use of anyone anywhere at no cost and with almost no restrictions whatsoever.	happy	[0.08342177 0.86149377 0.04780692 0.0035644  0.00207635 0.00163674]	scary	[0.         0.15590999 0.15705571 0.16614411 0.17863407 0.17500545]
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.net   Title: The Phantom of the Opera  Author: Gaston Leroux  Release Date: June 9, 2008 [EBook #175]  Language: English  Character set encoding: ASCII  *** START OF THIS PROJECT GUTENBERG EBOOK THE PHANTOM OF THE OPERA ***              The footnotes have been incrementally numbered in [ ] marks, and placed after the paragraph in which they appear          The Phantom of the Opera   by  Gaston Leroux    Author of ""The Mystery of the Yellow Room"" and ""The Perfume of the Lady in Black""     Contents  Chapter  PROLOGUE I  IS IT A GHOST?"	neutral	[0.6917023  0.02479849 0.20956531 0.00298078 0.06842206 0.00253107]	scary	[0.         0.16369553 0.16128506 0.16791046 0.17577221 0.16871441]
II  THE NEW MARGARITA III  THE MYSTERIOUS REASON IV  BOX FIVE V  THE ENCHANTED VIOLIN VI  A VISIT TO BOX FIVE VII  FAUST AND WHAT FOLLOWED VIII  THE MYSTERIOUS BROUGHAM IX  AT THE MASKED BALL X  FORGET THE NAME OF THE MAN'S VOICE XI  ABOVE THE TRAP-DOORS XII  APOLLO'S LYRE XIII  A MASTER-STROKE OF THE TRAP-DOOR LOVER XIV  THE SINGULAR ATTITUDE OF A SAFETY-PIN XV  CHRISTINE!	neutral	[0.8589582  0.08993391 0.0451108  0.00137451 0.00164392 0.00297869]	scary	[0.         0.16256828 0.1627357  0.17562766 0.17822971 0.17330106]
CHRISTINE!	surprised	[0.16804527 0.27304354 0.30330056 0.04092351 0.13426891 0.08041827]	neutral	[0. 0. 0. 0. 0. 0.]
XVI  MME.	neutral	[0.72054094 0.02738719 0.07571221 0.02801642 0.03812755 0.11021569]	neutral	[0. 0. 0. 0. 0. 0.]
GIRY'S REVELATIONS XVII  THE SAFETY-PIN AGAIN XVIII  THE COMMISSARY, THE VISCOUNT AND THE PERSIAN XIX  THE VISCOUNT AND THE PERSIAN XX  IN THE CELLARS OF THE OPERA XXI  INTERESTING VICISSITUDES XXII  IN THE TORTURE CHAMBER XXIII  THE TORTURES BEGIN XXIV  BARRELS!	neutral	"[9.3062901e-01 7.0436127e-03 5.8837779e-02 3.6608297e-05 3.1464850e-03
 3.0644503e-04]"	sad	[0.         0.16334903 0.16458607 0.17916671 0.17360479 0.17171343]
BARRELS!	neutral	[0.62855417 0.03076548 0.15172109 0.00454744 0.04907997 0.13533188]	neutral	[0. 0. 0. 0. 0. 0.]
"XXV  THE SCORPION OR THE GRASSHOPPER:  WHICH XXVI  THE END OF THE GHOST'S LOVE STORY EPILOGUE  {plus a ""bonus chapter"" called ""THE PARIS OPERA HOUSE""}     The Phantom of the Opera    Prologue   IN WHICH THE AUTHOR OF THIS SINGULAR WORK INFORMS THE READER HOW HE ACQUIRED THE CERTAINTY THAT THE OPERA GHOST REALLY EXISTED  The Opera ghost really existed."	neutral	"[7.9905063e-01 1.9338672e-01 6.7828745e-03 5.4157415e-04 1.1475294e-04
 1.2337485e-04]"	scary	[0.         0.16480801 0.16016155 0.17336523 0.17648001 0.16912164]
He was not, as was long believed, a creature of the imagination of the artists, the superstition of the managers, or a product of the absurd and impressionable brains of the young ladies of the ballet, their mothers, the box-keepers, the cloak-room attendants or the concierge.	neutral	[0.82015127 0.02618334 0.01531833 0.0033749  0.003501   0.13147116]	scary	[0.         0.16830796 0.16211942 0.1726269  0.17938808 0.16770462]
Yes, he existed in flesh and blood, although he assumed the complete appearance of a real phantom; that is to say, of a spectral shade.	neutral	[0.77863085 0.03066813 0.07888053 0.01054867 0.06781181 0.03346005]	scary	[0.         0.16564581 0.155166   0.16677005 0.18138293 0.16715099]
"When I began to ransack the archives of the National Academy of Music I was at once struck by the surprising coincidences between the phenomena ascribed to the ""ghost"" and the most extraordinary and fantastic tragedy that ever excited the Paris upper classes; and I soon conceived the idea that this tragedy might reasonably be explained by the phenomena in question."	neutral	[0.7995035  0.11989921 0.03685137 0.02494912 0.00913582 0.00966097]	sad	[0.         0.17141286 0.16783836 0.18859203 0.17496153 0.15968294]
The events do not date more than thirty years back; and it would not be difficult to find at the present day, in the foyer of the ballet, old men of the highest respectability, men upon whose word one could absolutely rely, who would remember as though they happened yesterday the mysterious and dramatic conditions that attended the kidnapping of Christine Daae, the disappearance of the Vicomte de Chagny and the death of his elder brother, Count Philippe, whose body was found on the bank of the lake that exists in the lower cellars of the Opera on the Rue-Scribe side.	neutral	[0.7327872  0.03167839 0.06043699 0.06793847 0.09891189 0.00824706]	sad	[0.         0.1676982  0.16563667 0.16984082 0.16955432 0.16513216]
