title	genre	scene	script	msd_tag	jamendo_tag	link
The Crow	['Action', 'Drama', 'Fantasy']	Gideon demands another drink. Darla flees from The Pit which leads Grange to investigate upstairs.	<i>the site of last year's biggest</i> <i>Devil's Night conflagration.</i> <i>It was exactly one year ago</i> <i>that the building you see</i> <i>across the street from me...</i> <i>was totally demolished by fire.</i> <i>The fire that was fought</i> <i>by seven fire companies, but cost</i> <i>the lives of two fire fighters.</i> <i>In fact, if it weren't</i> <i>for the constant surveillance</i> <i>by the local police precincts...</i> Freeze! Jesus. Don't ever do that, man. Fuck. Good likeness. I saw your body, man. You... You died. You got buried. You still have your hat on. I gotta sit down. Holy shit. Say... are you some kind of... of ghost? Boo!	rock, alternative, punk	instrument---piano, genre---downtempo, genre---easylistening	https://youtu.be/lEnMb4m9lu0
This Is 40	['Comedy', 'Romance']	Plays as the second song during the birthday party scene and end credits.	You know what? We don't have time for this right now. We have a lot of people coming over. They're all dead. What? Jack, Kate, Sawyer... I don't care about the show right now. Jin, Sun... Okay? I need you to just get in the shower, get dressed. Let's just put it on hold. Walt, Juliet... All those people. Don't think about <i>Lost</i> today. Tomorrow, <i>Lost,</i> all day. I can't wait to hear about it. Jack? No way, really? Right now, shower. I don't make fun of your stupid <i>Mad Men.</i> First of all, I don't get worked up over <i>Mad Men.</i> That's because Mad Men sucks. What Don Draper has gone through beats whatever Jack is running from on some fucking island. Bunch of people smoking in an office. It's stupid. It's about a lot more than that. And you don't have any kind of understanding about what it was like in the '60s. You do cry during Mad Men. I don't cry over it. I appreciate it. Right. You're getting me off topic. Just, please, get dressed.	rock, country, pop	genre---popfolk, instrument---piano, genre---easylistening	https://youtu.be/e5CMDmxtpbc
Catch Me Daddy	['Drama', 'Thriller']	Laila goes to the beauty salon.	Aaron! Laila. You look like. Laila. ♪ If a fiddler played you a song, my love ♪ And if I gave you a wheel ♪ Would you spin for my heart	60s, folk, rock	genre---popfolk, instrument---piano, genre---world	https://youtu.be/bsO756lqfVM
Ride Along	['Action', 'Comedy', 'Crime']	Ben's ringtone when his girlfriend calls him about his day.	I'm gonna go in here and fill out this paperwork, then I'll be back to take you home. Don't worry about it, man, you'll be all right. Hey, babe. <i>Hey, babe, how's it going?</i> Fine. It's going fine. Okay. So, it's the weekend and I was going to make plans. <i>I was thinking maybe we can go to that new restaurant or...</i> Babe, I don't want to do nothing. I just want to stay in the house and play my game. <i>I don't feel like being bothered.</i> What's wrong? <i>Come on, babe, talk.</i> You want to know what's wrong? Everything is wrong.	Hip-Hop, electronic, dance	instrument---strings, instrument---guitar, genre---popfolk	https://youtu.be/znUS2KqPYCw
Night School	['Comedy']	Plays at the day of the test; Stewart is listening to this song on his headphones.	"What's this really all about, Teddy bear? Hmm? Do you need help? Is that what this is all about? I don't know, Mommy. Maybe I do need help. Help yourself to the goddamn study book. Hell, you get 400 points just for signing your name! You do know how to spell your name, don't you? T-H-E... What? You wrong. Ain't no ""H"" in my name. She's spelling your legal name. Theodore. Well, there goes those 400 points. She like a Chinese boy at school. Shut your pie hole! Everyone, take a seat."	80s, rock, pop	genre---popfolk, instrument---piano, genre---world	https://youtu.be/btPJPFnesV4
Troy	['Drama', 'History']	End credits.		pop, female vocalists, rock	instrument---strings, genre---popfolk, genre---downtempo	https://youtu.be/ZxfcWMhdP1A
State of Play	['Crime', 'Drama', 'Mystery', 'Thriller']	Cal is singing this Irish song in his car at the start of the movie.	Now I'm just a source, so the pressure's off. (DOOR CLOSES) <i>(PHONE RINGING)</i> Hello? <i>MAN ON PHONE: Who's the great-looking blonde, Cal?</i> Who's this? <i>Across the street.</i>	folk, rock, country	genre---popfolk, instrument---piano, instrument---strings	https://youtu.be/fO7cd8uXVRQ
Donnie Darko	['Drama', 'Mystery', 'Sci-Fi', 'Thriller']	Sparkle Motion perform their dance to this song on stage	What happened to your eye? I'm so sorry. Why do they call you Frank? It's the name of my father... and his father before me. Frank? When's this gonna stop? You should already know that.	rock, pop, 80s	instrument---piano, genre---popfolk, instrument---strings	https://youtu.be/869ORJhvNQE
Mad Money	['Comedy', 'Crime', 'Thriller']	Plays over the last scene and the first half of the closing credits.	Holy shit! Oh! Who did it? I did! Me! Oh, my God! You sneaky criminal mastermind! Oh! <i># And she want to give it up #</i> <i># Until you give it just a lot of love #</i> <i># Those girls are so dangerous #</i> <i># It's enough to make a lover broke #</i> <i># Now do you want that love? #</i> <i># Do you need that love? #</i> <i># It's gonna make you run #</i> # It's gonna make your world # <i># Oh, now do you want that love? #</i> <i># That love is a whole new song #</i> <i># That love is a whole new song #</i> <i># That love is a whole new song #</i> # That love # <i># In magazines #</i> <i># Checking out some kind of scene #</i>	pop, female vocalists, Hip-Hop	instrument---guitar, instrument---strings, genre---popfolk	https://youtu.be/5ca8p5OWniI
Mr. Deeds	['Comedy', 'Romance']	Babe Bennett is in the bar watching the news about Blake Media	Are you all right? Good kick, honey. Good kick. Crazy Eyes! -All right. -Here you go. Peanut butter and gumballs. Nice combo. Don't worry about what happened. Time heals all things. Except these crazy eyes. It's good to be home. I know that much. I wasn't talking to you, Deeds. I was talking to that squirrel over there. Although it's a shame about that Cedar fellow... ...tearing apart your uncle's company and firing all those nice people. Where'd you hear that? I watch the stock market channel all the time. I watch because I suspect that anchorman of being an evil leprechaun. He can bullshit everybody else, but he ain't fooling me.	indie, rock, pop	genre---popfolk, instrument---piano, genre---easylistening	https://youtu.be/eYO1-gGWJyo
