word	anger	anticipation	disgust	fear	joy	sadness	surprise	trust
authoritative	0	0	0	0	0	0	0	0.578
soundness	0	0.461	0	0	0.421	0	0	0.633
ganna	0	0	0	0	0	0	0	0.297
interrogation	0	0	0	0.609	0	0	0	0
muff	0.318	0	0.391	0	0	0	0	0
destined	0	0.617	0	0	0	0	0	0.555
gaping	0	0.492	0	0	0	0	0	0
surge	0	0	0	0	0	0	0.703	0
masterpiece	0	0	0	0	0.561	0	0	0
scenic	0	0	0	0	0.375	0	0	0
noregrets	0	0	0	0	0.328	0	0	0
escape	0	0.625	0	0.406	0	0	0	0
molestation	0.742	0	0.914	0.859	0	0.744	0	0
watchout	0.398	0	0	0	0	0	0	0
tutelage	0	0	0	0	0	0	0	0.469
astound	0	0	0	0	0	0	0.820	0
fab	0	0	0	0	0.531	0	0	0
teamjesus	0	0	0	0	0.500	0	0	0
electric	0	0	0	0	0.344	0	0.578	0
nun	0	0	0	0	0	0	0	0.602
courtship	0	0.656	0	0	0.375	0	0	0.508
appendicitis	0	0	0	0.547	0	0.438	0	0
relancer	0	0	0	0	0	0	0	0.406
obsessing	0	0	0	0.312	0	0	0	0
trans	0	0	0	0	0	0	0	0.320
punish	0	0	0	0.531	0	0	0	0
precedence	0	0	0	0	0	0	0	0.555
fulfillment	0	0.602	0	0	0.728	0	0	0.664
unhelpful	0.219	0	0	0	0	0	0	0
unik	0	0	0	0	0	0	0	0.273
plaintive	0	0	0	0	0	0.359	0	0
grief	0	0	0	0	0	0.859	0	0
leprosy	0	0	0.773	0.766	0	0.719	0	0
distracted	0.197	0	0	0	0	0	0	0
cruelly	0.672	0	0	0.658	0	0	0	0
overt	0	0	0	0.391	0	0	0	0
supporting	0	0	0	0	0	0	0	0.664
spam	0.281	0	0	0	0	0	0	0
petrified	0	0	0	0.844	0	0	0	0
pleasure	0	0	0	0	0.803	0	0	0
loathsome	0.857	0	0.773	0	0	0	0	0
acceptance	0	0	0	0	0	0	0	0.680
