emotion	ID
happy	--CZ-8vrQ1g
happy	-0Rr5IvwyEY
happy	-1B50kBrQeY
happy	-1Z0N9uJX7Q
happy	-1ebnb51apc
happy	-1s2ecnv7SA
happy	-2l6x0AfNEo
happy	-2s4JrPYDNw
happy	-315Tp-gxBc
happy	-34jdykhMa0
happy	-3MzLUCeWZU
happy	-3gufJfFXJI
happy	-4DLJA5ShGI
happy	-4PivAAdc3M
happy	-5Wkc3w1L9s
happy	-7Ga9S1jAFA
happy	-7eJFNAUuHw
happy	-7jaUlmrU9Y
happy	-9Lh20bRmT0
happy	-9tdnWfKLXw
happy	-AW0jbh8Poc
happy	-ArBiqi8Wk8
happy	-BNOIZVOVI8
happy	-B_SktRe3VE
happy	-BuYLobu90c
happy	-C7uzYYG-0k
happy	-E0ABoKzZIE
happy	-EAOKDazXGQ
happy	-EQEhZumxyc
happy	-Fsrbbv3iOg
happy	-FwXeBqDc9Q
happy	-GTAvy5Pu4k
happy	-HKaeYUlJ2w
happy	-HV7h4nhbeE
happy	-H_vmVLZwi0
happy	-IFc55LGpPY
happy	-IiovtR2tC4
happy	-KO9pQiU1_I
happy	-KapkUxNqpo
happy	-L5wKEW0y1A
happy	-MWdadfxLW4
happy	-NZ8R0xsZ8E
happy	-NjywMzlbrg
happy	-OC82H_fNWI
happy	-Ow1e95L4WY
happy	-PKQjg3_4UE
happy	-PkFfzqpovg
happy	-PkjlzrRPuQ
happy	-QtL0saYKXQ
happy	-RVkR14wr_o
happy	-SCTYrq78NM
happy	-SCrM-xy6U4
happy	-ShiLnubDqw
happy	-TGtCHzPlSw
happy	-Tqu_BL8Prk
happy	-Tvf34bvfvE
happy	-UTTACvDM2I
happy	-UjctPDc8dQ
happy	-Uv83ZxezkA
happy	-X0FGMUNb44
happy	-ZQ-dh4p378
happy	-Zk-wQ2z3CE
happy	-_AVZhO0EBg
happy	-_CY9gMKbHs
happy	-_Q48CWMxvM
happy	-_oNL-RlIEA
happy	-a3aXgodXiY
happy	-aWyzSBS-uQ
happy	-abmkVbc5og
happy	-dcYVLZm2Ng
happy	-di_dphedeY
happy	-eD1nSReMJ0
happy	-fCTQY4fZh4
happy	-fcg9GQfadQ
happy	-gQbb11q4Q8
happy	-h-Zp1NXYnc
happy	-hLB9m90XKs
happy	-hRhgb9uVJY
happy	-iiNl5nvaFc
happy	-isfWGG2T2U
happy	-j2vKtXaP9c
happy	-kUd8O7oK8c
happy	-mJNeYwKSJU
happy	-mli5IrGJgo
happy	-nn6P7Kn1sM
happy	-o8ii7IWtuo
happy	-p3gUcc8XPQ
happy	-pJxmnZSglM
happy	-q1CHL-9uNQ
happy	-qsp9vUOAeU
happy	-rZ28KjecoQ
happy	-s3Y4J9ZTms
happy	-sI4ChXW2bU
happy	-t854009HZ4
happy	-tE6lxBn5Zc
happy	-tM-pwPtMOo
happy	-vxza7AEsWk
happy	-xMnmAwuupg
happy	-x_QZDq0fok
happy	-xhAkzYGv98
happy	-y1YOkUHgCU
happy	-yoHGgreeic
happy	009eTwJs9SQ
happy	00Kh4hi8H3E
happy	00rFNeH5nlU
happy	01TT15BNNZI
happy	01moRUFQ9lc
happy	01uBJadCf3M
happy	02Nz6LlHwV8
happy	03eIzjefZ90
happy	03u9laE3pqI
happy	041HaDQahoI
happy	04DOMfrOM28
happy	05ZnX4gpcTU
happy	05h9QmECNYs
happy	05r1Bm9tfg0
happy	05sUNPpj5ps
happy	05ysZ6f4kMM
happy	06ekfOzPu_s
happy	06fGFJ5CoQQ
happy	07GD263eCeg
happy	07HYqx9CFvo
happy	08KHQH9V2ak
happy	08W-Bdnahlc
happy	096aIn8Ct4M
happy	09sELHcd7uI
happy	0DfJ96OXP2k
happy	0EJMQzV4fa8
happy	0FC49Vn7DTo
happy	0FUStSgi3SQ
happy	0G9LM_FUBPE
happy	0GgLPofU3Ic
happy	0J4gAwC6Uxo
happy	0JTtUm_tlos
happy	0JoY0RH7KMY
happy	0KBZNyQ7ffs
happy	0KQfK_KkE-E
happy	0KijuXWbE1E
happy	0Kpbp6feTm8
happy	0Ktyu12SEyc
happy	0LI-9aBRrOo
happy	0Le7mhMgIEA
happy	0MqfAFcX-c4
happy	0NyTgMNTzbs
happy	0OEeZPVwrfg
happy	0OX3a9cV4hQ
happy	0S4GcKH5S5o
happy	0TGeLO-gajQ
happy	0X17eSTRvds
happy	0Xue3N0BRaM
happy	0Y3XwgLU64E
happy	0YtZyiVVpL8
happy	0ZL-SEuXzJ8
happy	0Ztp1wom8MQ
happy	0aXi7kaH4Ck
happy	0abpvTgLtVo
happy	0aiuQvHT9Ig
happy	0bB__SSVBK0
happy	0d3KoIEEMa0
happy	0dLqhKfGrVU
happy	0eEHMmMZrHk
happy	0fXdqA_PYEk
happy	0ftYOGpFkhY
happy	0g4waTKz53Q
happy	0g9h0xf5FxU
happy	0gaZuXI4yds
happy	0guK6KNLg2Y
happy	0gzGR-bz3Os
happy	0hI587RuS1w
happy	0hyjvLkDMtY
happy	0i_STZkmAcs
happy	0icGe1RbyHM
happy	0j8RGdyncbY
happy	0jE1XHKwv0Q
happy	0jRk-Vb3uyg
happy	0jUOQ0Fw25U
happy	0mkmRX1ojLo
happy	0nLbCS0c25M
happy	0nXEQHrClR0
happy	0pk4mQKqr-c
happy	0puWWKpSM7k
happy	0qOyTtsMImk
happy	0r13kc6nKng
happy	0rmhj_W--_Y
happy	0sfVo3sfRjs
happy	0smpjzGpl9M
happy	0tKPBZtHyq4
happy	0tnXcvHZdHA
happy	0tvYPZdqS8k
happy	0u_CWSUSwtc
happy	0vL6EVoSxfA
happy	0vTiRKNXAnE
happy	0vZHTpItodg
happy	0xghF4F3eiE
happy	1-cE8y-UD2M
happy	1-mlYA-QsJg
happy	10E405EYGaQ
happy	10EDVIKQnfA
happy	10qWY6uDb-A
happy	10uYkP-rdMg
happy	11abuzJzUkA
happy	11cJY789OqQ
happy	157LYOp-ocE
